common_name,description
flowering-maple,"flowering-maple est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace."
flowering-maple,flowering-maple est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.
flowering-maple,flowering-maple est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.
flowering-maple,flowering-maple est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
Jacob's coat,Jacob's coat est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.
hot water plant,hot water plant est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.
desert rose,"desert rose est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace."
maidenhair fern,maidenhair fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.
delta maidenhair fern,delta maidenhair fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle est plutôt exigeante. C’est une plante vivace.
urn plant,urn plant est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
stalked aeonium,"stalked aeonium est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace."
lipstick plant,lipstick plant est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.
Philippine evergreen,Philippine evergreen est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
Chinese evegreen,Chinese evegreen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
Chinese evergreen,Chinese evergreen est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
Chinese evergreen,Chinese evergreen est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
onion,onion est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
elephant's ear,elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
Amazonian elephant's ear,Amazonian elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle requiert des soins exigeants. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
elephant's ear,elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
elephant's ear,elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle requiert des soins exigeants. Son entretien est facile. C’est une plante vivace.
elephant's ear,elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
giant elephant's ear,"giant elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle possède des épines, ce qui nécessite de la prudence. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace."
elephant's ear,elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle requiert des soins exigeants. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
elephant's ear,elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
elephant's ear,elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
aloe,aloe est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
aloe,aloe est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.
aloe,aloe est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle nécessite peu d’arrosage. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
Joseph's coat,Joseph's coat est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
Joseph's coat,Joseph's coat est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
anthurium,anthurium est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.
anthurium,anthurium est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.
zebra plant,zebra plant est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.
trailing snapdragon,trailing snapdragon est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
Sprenger's asparagus fern,Sprenger's asparagus fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
asparagus fern,asparagus fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante herbacée vivace.
asparagus fern,asparagus fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle nécessite peu d’arrosage. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
asparagus fern,asparagus fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.
cast-iron plant,cast-iron plant est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.
bird's nest fern,bird's nest fern est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.
Japanese painted fern,Japanese painted fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.
spotted laurel,spotted laurel est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.
spotted laurel,spotted laurel est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.
spotted laurel,spotted laurel est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.
ponytail palm,ponytail palm est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.
begonia,begonia est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.
